,Lev,NPR,Size,Tang,Growth,NDTS,SOE,Liq,M2_growth
count,144960.0,144960.0,144960.0,144960.0,144960.0,144960.0,144960.0,144960.0,144960.0
mean,0.39622443004246893,0.037650786840963214,22.305339428515538,0.20306371079417765,0.02932824169100704,0.02192292959641303,0.26839817880794703,2.746206926445176,10.104072577320862
std,0.1941973623758567,0.05590971818543333,1.3184560065221091,0.1499182436930697,0.10377206400956271,0.014083041107757615,0.4431274658769836,2.7545712889528535,2.1580364764693516
min,0.031868215787704705,-0.33667194518950877,18.847781616173485,0.0024200776353682754,-0.15443900527228324,0.0006840715289148525,0.0,0.295230969100183,7.274369600935171
1%,0.05689361727277873,-0.17066024401782787,20.176598561209417,0.0032753550188717394,-0.10317908601382789,0.0009974215701020594,0.0,0.4305593380247048,7.274369600935171
5%,0.10054156410726421,-0.052719244954518144,20.60283166634125,0.014966851794054915,-0.00858126610405786,0.0033858949918004035,0.0,0.6933899947602234,7.274369600935171
25%,0.23769017963965974,0.013680984391508524,21.364217488274328,0.08576469564064408,0.0,0.011215392794654508,0.0,1.2527530896513341,8.744771065978796
50%,0.38776282196264417,0.0366253276419749,22.06820215717766,0.17304121578151502,0.0,0.019371998328485542,0.0,1.8339423743489471,9.698249779857605
75%,0.541134503572368,0.06586330284278584,23.009294817907158,0.28702440770002446,0.0,0.030072994438690392,1.0,3.0943856725565713,11.333120700336586
95%,0.730489263408668,0.12204307746174545,24.774631746722065,0.5032185447536982,0.21538882191193345,0.048735607710990406,1.0,8.04478261518994,14.391640399163496
99%,0.8320781596820165,0.17831251109815618,26.43763387812546,0.6403776244546976,0.5342985180905203,0.06487367072199267,1.0,15.03712273419947,17.32297305487116
max,0.8925656836711764,0.21338479927478532,28.790810677751637,0.727419415667414,1.1191416018766476,0.08162809096142448,1.0,28.38514891027134,17.32297305487116
