year,coef,se,ci_low,ci_high
2011,-0.15933093632546733,0.06097926410217701,-0.27885029396573424,-0.0398115786852004
2012,-0.290544872313456,0.05937887044435396,-0.40692745838438976,-0.17416228624252222
2013,-0.2608910167229095,0.055119024191754525,-0.3689243041387483,-0.15285772930707062
2014,-0.2896167560440427,0.04901370147470806,-0.38568361093447046,-0.1935499011536149
2015,-0.4683738106458048,0.04756071972462156,-0.561592821306063,-0.37515479998554657
2016,-0.6226832674229993,0.03873101608806602,-0.6985960589556087,-0.5467704758903899
2017,-0.6270994975810824,0.033203636706266706,-0.6921786255253651,-0.5620203696367997
2018,-0.42585451024145193,0.02828908848908516,-0.48130112368005884,-0.370407896802845
2019,-0.4983179261376514,0.027418812716158994,-0.552058799061323,-0.4445770532139798
2020,-0.5175125625201965,0.026578080156680825,-0.569605599627291,-0.4654195254131021
2021,-0.5699483986653497,0.0261604738454817,-0.6212229274024939,-0.5186738699282056
2022,-0.6570205237776116,0.028643106159026575,-0.7131610118493037,-0.6008800357059194
2023,-0.8642472975863522,0.03276441159863951,-0.9284655443196856,-0.8000290508530188
2024,-0.9190925566860234,0.03839851904246812,-0.9943536540092609,-0.8438314593627859
2025,-0.9634872297673187,0.06687704249546844,-1.094566233058437,-0.8324082264762005
