变量,M1: TWFE,M1': IFE (近似),M2a: SOE (国企),M2b: Non‑SOE (民企),M3: 交互项
NPR,-0.6095*** (0.0604),-0.6172*** (0.0589),-0.7184*** (0.0793),-0.5412*** (0.0517),-0.5785*** (0.0551)
NPR × SOE,—,—,—,—,-0.1931** (0.0842)
m2_growth,—,0.0427 (0.0312),—,—,—
Size,0.0831*** (0.0044),0.0819*** (0.0045),0.0765*** (0.0058),0.0893*** (0.0040),0.0825*** (0.0044)
Tang,0.1292*** (0.0174),0.1278*** (0.0170),0.1402*** (0.0215),0.1093*** (0.0158),0.1284*** (0.0172)
Growth,0.0489*** (0.0116),0.0493*** (0.0118),0.0431** (0.0162),0.0526*** (0.0107),0.0481*** (0.0114)
NDTS,-0.1947 (0.2040),-0.1883 (0.1987),-0.2105 (0.2513),-0.1702 (0.1889),-0.1921 (0.2025)
公司固定效应,✓,✓,✓,✓,✓
年度固定效应,✓,交互FE,✓,✓,✓
聚类标准误,双向 (公司+年份),公司层稳健,双向,双向,双向
观测数 N,"144,960","144,960","38,957","106,003","144,960"
公司数,"4,433","4,433","1,189","3,244","4,433"
Within R²,0.185,0.181,0.179,0.186,0.186
